doi,year,title,venue,reason,basis,notes
10.1080/01431160903160777,2010,Land-cover classification using radar and optical images: a case study in Central Mexico,,not-forest,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.1016/j.ecss.2011.08.011,2011,Discrimination of coastal wetland environments in the Amazon region based on multi-polarized L-band airborne Synthetic Aperture Radar imagery,,not-forest,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.1016/j.jhydrol.2018.02.009,2018,Evaluating the potential for site-specific modification of LiDAR DEM derivatives to improve environmental planning-scale wetland identification using Random Forest classification,,not-forest,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.1109/jstars.2017.2650956,2017,Integration of Ant Colony Optimization and Object-Based Analysis for LiDAR Data Classification,IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,no-question,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.1109/tgrs.2017.2656152,2017,An Internal Crown Geometric Model for Conifer Species Classification With High-Density LiDAR Data,IEEE Transactions on Geoscience and Remote Sensing,no-question,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.1016/j.isprsjprs.2022.03.004,2022,Individual tree detection and estimation of stem attributes with mobile laser scanning along boreal forest roads,Isprs Journal of Photogrammetry and Remote Sensing,no-question,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.1080/07038992.2014.913477,2014,Integration of Polarimetric PALSAR Attributes and Local Geomorphometric Variables Derived from SRTM for Forest Biomass Modeling in Central Amazonia,,no-question,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.1109/tgrs.2016.2631632,2017,A Fully Polarimetric SAR Imagery Classification Scheme for Mud and Sand Flats in Intertidal Zones,IEEE Transactions on Geoscience and Remote Sensing,no-question,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.1080/01431161.2014.978034,2014,"Combining EO-1 Hyperion and Envisat ASAR data for mangrove species classification in Mai Po Ramsar Site, Hong Kong",,not-forest,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.5589/m11-020,2011,"Integrating SAR and optical imagery for regional mapping of paddy rice attributes in the Poyang Lake Watershed, China",,not-forest,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.1016/j.rse.2012.12.013,2013,Classification of forest composition using polarimetric decomposition in multiple landscapes,,no-question,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.1016/j.rse.2017.04.025,2017,Retrieval of higher order statistical moments from full-waveform LiDAR data for tree species classification,,no-question,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.1016/j.foreco.2015.03.013,2015,Predicting wood fiber attributes using local-scale metrics from terrestrial LiDAR data: A case study of Newfoundland conifer species,,no-question,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.1080/01431161.2011.593583,2011,Assessing the attributes of high-density Eucalyptus globulus stands using airborne laser scanner data,,no-question,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.1109/jstars.2014.2332337,2014,An Object-Based Method for Urban Land Cover Classification Using Airborne Lidar Data,IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,not-forest,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.1016/j.rse.2016.04.020,2016,Canopy structural attributes derived from AVIRIS imaging spectroscopy data in a mixed broadleaf/conifer forest,,no-question,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.5849/forsci.11-074,2013,Prediction of Wood Fiber Attributes from LiDAR-Derived Forest Canopy Indicators,,no-question,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.1080/07038992.2016.1252908,2016,Comparing Modeling Methods for Predicting Forest Attributes Using LiDAR Metrics and Ground Measurements,,no-question,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.1016/j.isprsjprs.2017.08.013,2017,Tree species classification using within crown localization of waveform LiDAR attributes,,no-question,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.1109/jstars.2015.2402693,2015,Edge-Tree Correction for Predicting Forest Inventory Attributes Using Area-Based Approach With Airborne Laser Scanning,IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,no-question,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.1109/igarss.2013.6723554,2013,Separating leaves from trunks and branches with dual-wavelength terrestrial lidar scanning,IEEE International Geoscience and Remote Sensing Symposium,no-question,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.5589/m07-046,2007,Optimum RADARSAT-1 configurations for wetlands discrimination: a case study of the Mer Bleue peat bog,,not-forest,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.1080/01431161.2016.1182663,2016,Evaluation of the discrimination capability of full polarimetric SAR data for crop classification,,not-forest,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.1080/15481603.2016.1177249,2016,Integration of full-waveform LiDAR and hyperspectral data to enhance tea and areca classification,,not-forest,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.1016/j.jag.2015.04.014,2015,Classification of vegetation in an open landscape using full-waveform airborne laser scanner data,International Journal of Applied Earth Observation and Geoinformation,no-question,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.1080/07038992.2015.1032901,2015,Land Cover Classification from Polarimetric SAR Data Based on Image Segmentation and Decision Trees,,no-question,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.1109/igarss.2000.861668,2000,Application of neural networks for wetland classification in RADARSAT SAR imagery,IGARSS 2000. IEEE 2000 International Geoscience and Remote Sensing Symposium. Taking the Pulse of the Planet: The Role of Remote Sensing in Managing the Environment. Proceedings (Cat. No.00CH37120),not-forest,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.1016/j.jag.2017.06.004,2017,LiDAR-based TWI and terrain attributes in improving parametric predictor for tree growth in southeast Finland,International Journal of Applied Earth Observation and Geoinformation,no-question,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.1007/s00521-016-2188-9,2016,Automatic microstructural characterization and classification using dual tree complex wavelet-based features and Bees Algorithm,Neural computing & applications (Print),off-topic,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.1080/01431161.2011.577830,2012,Retrieval of forest canopy attributes based on a geometric-optical model using airborne LiDAR and optical remote-sensing data,,no-question,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.1109/geoinformatics.2011.5981118,2011,Fusion of airborne hyperspectral and LiDAR data for tree species classification in the temperate forest of northeast China,GEOINFORMATICS,no-question,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.1109/lgrs.2008.2001031,2009,Hierarchical Feature-Based Classification Approach for Fast and User-Interactive SAR Image Interpretation,IEEE Geoscience and Remote Sensing Letters,no-question,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.1080/02827581.2014.986520,2014,Using pre-classification to improve the accuracy of species-specific forest attribute estimates from airborne laser scanner data and aerial images,,no-question,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.1109/jstars.2014.2354014,2015,Characterizing Radiometric Attributes of Point Cloud Using a Normalized Reflective Factor Derived From Small Footprint LiDAR Waveform,IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,no-question,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.1109/urs.2009.5137543,2009,An object-based two-stage method for a detailed classification of urban landscape components by integrating airborne LiDAR and color infrared image data: A case study of downtown Houston,Joint Urban Remote Sensing Event,not-forest,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.1109/igarss.2014.6946386,2014,Fusion of hyperspectral and LiDAR data in classification of urban areas,2014 IEEE Geoscience and Remote Sensing Symposium,not-forest,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.14358/pers.80.2.143-150,2014,"Prediction of Forest Attributes with Field Plots, Landsat, and a Sample of Lidar Strips",,no-question,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.1080/07038992.2016.1199269,2016,Predicting Attributes of Regeneration Forests Using Airborne Laser Scanning,,no-question,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.1016/j.rse.2008.08.006,2009,"Corrigendum to “Nearest neighbor imputation of species-level, plot-scale forest structure attributes from LiDAR data”[Remote Sensing of Environment, 112: 2232–2245]",,duplicate,title only; no abstract returned by Crossref or Semantic Scholar,Duplicate or corrigendum of another record in this subset.
10.1007/s10661-015-4914-7,2015,"Mapping forested wetlands in the Great Zhan River Basin through integrating optical, radar, and topographical data classification techniques",Environmental Monitoring & Assessment,no-question,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.1080/014311697217152,1997,Evaluating ERS-1 SAR data for the discrimination of tropical forest from other tropical vegetation types in Papua New Guinea,,no-question,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.14358/pers.79.3.245,2013,Comparison of forest attributes derived from two terrestrial lidar systems.,,no-question,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.1016/j.rse.2024.114456,2024,Individual tree species classification using low-density airborne multispectral LiDAR data via attribute-aware cross-branch transformer,Remote Sensing of Environment,no-question,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.1080/01431161.2013.810823,2013,"Discrimination of vegetation types in alpine sites with ALOS PALSAR-, RADARSAT-2-, and lidar-derived information",,no-question,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.1007/s13595-019-0835-x,2019,Combining low-density LiDAR and satellite images to discriminate species in mixed Mediterranean forest,Annals of Forest Science,no-question,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.1080/01431160701253295,2007,Analysis of ENVISAT ASAR data for forest parameter retrieval and forest type classification—a case study over deciduous forests of central India,,no-question,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.1029/98je01893,1998,"Classification of surface types using SIR‐C/X‐SAR, Mount Everest Area, Tibet",,not-forest,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.1109/jstars.2014.2312717,2014,A Two-Phase Classification of Urban Vegetation Using Airborne LiDAR Data and Aerial Photography,IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,not-forest,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.1016/j.isprsjprs.2022.08.013,2022,An investigation into lidar scan angle impacts on stand attribute predictions in different forest environments,Isprs Journal of Photogrammetry and Remote Sensing,no-question,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.1080/19479832.2010.495323,2010,Discrimination of peatlands in tropical swamp forests using dual-polarimetric SAR and Landsat ETM data,,no-question,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.1016/j.jag.2012.12.001,2013,Discrimination of mangrove forests and characterization of adjoining land cover classes using temporal C-band Synthetic Aperture Radar data: A case study of Sundarbans,International Journal of Applied Earth Observation and Geoinformation,no-question,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.1080/01431161.2013.796096,2013,Assessment of polarimetric SAR data for discrimination between wet versus dry soil moisture conditions,,not-forest,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
,2015,Object-based Land Cover Classification with Orthophoto and LIDAR Data,,not-forest,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.1016/j.ecolind.2021.108412,2021,A new index of forest structural heterogeneity using tree architectural attributes measured by terrestrial laser scanning,Ecological Indicators,no-question,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.1080/01431161.2013.858846,2013,Canopy height model characteristics derived from airbone laser scanning and its effectiveness in discriminating various tropical moist forest types,,no-question,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
,2009,CURVATURE ANALYSIS OF LIDAR DATA FOR SINGLE TREE SPECIES CLASSIFICATION IN ALPINE LATITUDE FORESTS,,no-question,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.1080/17538947.2011.583992,2012,Modelling stratified forest attributes using optical/LiDAR features in a central European landscape,International Journal of Digital Earth,no-question,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.1016/j.fcr.2016.07.024,2016,Hail defoliation assessment in corn (Zea mays L.) using airborne LiDAR,,not-forest,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.5589/m12-053,2013,Classifying tree and nontree echoes from airborne laser scanning in the forest–tundra ecotone,,no-question,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.14358/pers.80.2.000,2014,"Prediction of Forest Attributes with Field Plots, Landsat, and a Sample of Lidar Strips: A Case Study on the Kenai Peninsula, Alaska",,no-question,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.18520/cs/v114/i01/201-206,2018,Automatic Estimation of Tree Stem Attributes Using Terrestrial Laser Scanning in Central Indian Dry Deciduous Forests,,no-question,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.1016/s0034-4257(00)00173-5,2001,Using SIR-C SAR data and the AMAP model for forest attributes retrieval and 3-D stand simulation,,no-question,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.1080/10402381.2017.1373171,2017,Land cover classification of the Lake of the Woods/Rainy River Basin by object-based image analysis of Landsat and lidar data,,not-forest,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.1016/j.compag.2021.106402,2021,Predicting the site-specific distribution of agrochemical spray deposition in vineyards at multiple phenological stages using 2D LiDAR-based primary canopy attributes,Computers and Electronics in Agriculture,no-question,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.2528/pierb11123011,2012,Jute and Tea Discrimination through Fusion of SAR and Optical Data,,not-forest,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.1007/s12524-018-0789-8,2018,Canopy Structure Attributes Extraction from LiDAR Data Based on Tree Morphology and Crown Height Proportion,Journal of the Indian Society of Remote Sensing,no-question,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.1080/17538947.2017.1387183,2018,Most similar neighbor imputation of forest attributes using metrics derived from combined airborne LIDAR and multispectral sensors,International Journal of Digital Earth,no-question,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
,2008,Potential and limits of extraction of forest attributes by fusion of medium point density LiDAR data with ADS40 and RC30 images.,,no-question,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
,2011,USE OF GABOR FILTERS FOR TEXTURE CLASSIFICATION OF AIRBORNE IMAGES AND LIDAR DATA,,no-question,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.1016/j.jag.2016.11.004,2017,Structural attributes of individual trees for identifying homogeneous patches in a tropical rainforest,International Journal of Applied Earth Observation and Geoinformation,no-question,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
,2002,USING MULTISPECTRAL IMAGERY AND MULTI-RETURN LIDAR TO ESTIMATE TREE AND STAND ATTRIBUTES IN A SOUTHERN BOTTOMLAND HARDWOOD FOREST,,no-question,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.12760/02-2015-2-05,2015,Feature based tree species classification using hyperspectral and lidar data in the Bavarian Forest National Park,,no-question,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.2112/jcoastres-d-16-00109.1,2017,Deriving Rich Coastal Morphology and Shore Zone Classification from LIDAR Terrain Models,Journal of Coastal Research,not-forest,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.1080/19479832.2010.551521,2012,Texture modelling for land cover classification of fully polarimetric SAR images,,not-forest,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.1109/geoinformatics.2015.7378621,2015,A random forest based method for urban object classification using lidar data and aerial imagery,GEOINFORMATICS,not-forest,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.1080/01431161.2010.550645,2011,An approach to classification of airborne laser scanning point cloud data in an urban environment,,not-forest,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.1111/avsc.12580,2021,Mapping structural attributes of tropical dry forests by combining Synthetic Aperture Radar and high‐resolution satellite imagery data,,no-question,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.1109/icvrv.2016.27,2016,Object-Oriented Random Forest Classification for Enteromorpha Prolifera Detection with SAR Images,International Conference on Virtual Reality and Visualization,not-forest,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.1109/igarss.2014.6946660,2014,Fusing imaging spectrometry and airborne laser scanning data for tree species discrimination,2014 IEEE Geoscience and Remote Sensing Symposium,no-question,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.1080/01431169608949086,1996,Classification of radar imagery over boreal regions for methane exchange studies,,not-forest,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.1007/978-981-10-8016-6_60,2017,Optimized Hierarchical Rule-Based Classification for Differentiating Shallow and Deep-Seated Landslide Using High-Resolution LiDAR Data,,not-forest,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.1016/j.ecoinf.2025.103165,2025,Mapping individual tree crowns to extract morphological attributes in urban areas using unmanned aerial vehicle-based LiDAR and RGB data,Ecological Informatics,no-question,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
,2009,AERIAL IMAGES AND LIDAR DATA FUSION FOR AUTOMATIC FEATURE EXTRACTION USING THE SELF-ORGANIZING MAP (SOM) CLASSIFIER,,no-question,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.1080/01431161.2018.1437293,2018,A supervoxel-based vegetation classification via decomposition and modelling of full-waveform airborne laser scanning data,,no-question,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.1175/jtech-d-12-00190.1,2013,Automated Discrimination of Certain Brightness Fronts in RADARSAT-2 Images of the Ocean Surface,,not-forest,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.5589/m11-045,2011,Combining mobile and static terrestrial laser scanners to investigate individual crown attributes during foliation,,no-question,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
,2005,An evaluation of LiDAR and optical satellite data for the measurement of structural attributes in British upland conifer plantation forestry,,no-question,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.1080/01431161.2010.507678,2011,Performance evaluation of classification trees for building detection from aerial images and LiDAR data: a comparison of classification trees models,,no-question,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.1117/1.jrs.11.016035,2017,Forest type classification with combination of advanced polarimetric decompositions and textures of L-band synthetic aperture radar data,,no-question,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.1016/j.isprsjprs.2017.05.016,2017,Reducing classification error of grassland overgrowth by combing low-density lidar acquisitions and optical remote sensing data,,not-forest,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
,2007,FUSION OF IMAGING SPECTROMETER AND LIDAR DATA USING SUPPORT VECTOR MACHINES FOR LAND COVER CLASSIFICATION IN THE CONTEXT OF FOREST FIRE MANAGEMENT,,no-question,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.1007/s10921-015-0332-6,2016,Automatic Microstructural Characterization and Classification Using Higher-Order Spectra on Ultrasound Signals,Journal of nondestructive evaluation,off-topic,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
